"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35285","test","chromium","Sat Jun 21 10:16:32 UTC 2025","failed","Sat Jun 21 10:17:08 UTC 2025","","smoke/loginfail.spec.js","",""
"","36683","Wishlist","chromium","Sat Jun 21 10:17:08 UTC 2025","failed","Sat Jun 21 10:17:45 UTC 2025","","smoke/wishlist.spec.js","",""
"","6245","test","chromium","Sat Jun 21 10:16:26 UTC 2025","passed","Sat Jun 21 10:16:32 UTC 2025","","smoke/login.spec.js","",""
