"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35252","test","chromium","Fri Jun 20 10:17:57 UTC 2025","failed","Fri Jun 20 10:18:32 UTC 2025","","loginfail.spec.js","",""
"","6124","test","chromium","Fri Jun 20 10:17:51 UTC 2025","passed","Fri Jun 20 10:17:57 UTC 2025","","login.spec.js","",""
"","36994","Wishlist","chromium","Fri Jun 20 10:18:33 UTC 2025","failed","Fri Jun 20 10:19:10 UTC 2025","","wishlist.spec.js","",""
