"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6779","test","chromium","Wed Jun 25 10:19:10 UTC 2025","passed","Wed Jun 25 10:19:17 UTC 2025","","smoke/login.spec.js","",""
"","35586","test","chromium","Wed Jun 25 10:19:18 UTC 2025","failed","Wed Jun 25 10:19:54 UTC 2025","","smoke/loginfail.spec.js","",""
"","37364","Wishlist","chromium","Wed Jun 25 10:19:55 UTC 2025","failed","Wed Jun 25 10:20:32 UTC 2025","","smoke/wishlist.spec.js","",""
