"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35443","test","chromium","Sat Jun 21 06:08:04 UTC 2025","failed","Sat Jun 21 06:08:39 UTC 2025","","smoke/loginfail.spec.js","",""
"","6066","test","chromium","Sat Jun 21 06:07:58 UTC 2025","passed","Sat Jun 21 06:08:04 UTC 2025","","smoke/login.spec.js","",""
"","37142","Wishlist","chromium","Sat Jun 21 06:08:40 UTC 2025","failed","Sat Jun 21 06:09:17 UTC 2025","","smoke/wishlist.spec.js","",""
