"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37025","Wishlist","chromium","Wed Jun 25 20:19:39 UTC 2025","failed","Wed Jun 25 20:20:17 UTC 2025","","smoke/wishlist.spec.js","",""
"","35850","test","chromium","Wed Jun 25 20:19:03 UTC 2025","failed","Wed Jun 25 20:19:39 UTC 2025","","smoke/loginfail.spec.js","",""
"","6700","test","chromium","Wed Jun 25 20:18:56 UTC 2025","passed","Wed Jun 25 20:19:03 UTC 2025","","smoke/login.spec.js","",""
