"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6781","test","chromium","Fri Jun 20 02:03:16 UTC 2025","passed","Fri Jun 20 02:03:23 UTC 2025","","login.spec.js","",""
"","39624","test","chromium","Fri Jun 20 02:03:23 UTC 2025","failed","Fri Jun 20 02:04:02 UTC 2025","","loginfail.spec.js","",""
"","38579","Wishlist","chromium","Fri Jun 20 02:04:03 UTC 2025","failed","Fri Jun 20 02:04:42 UTC 2025","","wishlist.spec.js","",""
