"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35590","test","chromium","Sat Jun 28 10:16:36 UTC 2025","failed","Sat Jun 28 10:17:11 UTC 2025","","smoke/loginfail.spec.js","",""
"","6229","test","chromium","Sat Jun 28 10:16:29 UTC 2025","passed","Sat Jun 28 10:16:35 UTC 2025","","smoke/login.spec.js","",""
"","36902","Wishlist","chromium","Sat Jun 28 10:17:12 UTC 2025","failed","Sat Jun 28 10:17:49 UTC 2025","","smoke/wishlist.spec.js","",""
