"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6755","test","chromium","Fri Jun 20 20:18:10 UTC 2025","passed","Fri Jun 20 20:18:17 UTC 2025","","login.spec.js","",""
"","63491","Wishlist","chromium","Fri Jun 20 20:18:54 UTC 2025","failed","Fri Jun 20 20:19:57 UTC 2025","","wishlist.spec.js","",""
"","36054","test","chromium","Fri Jun 20 20:18:17 UTC 2025","failed","Fri Jun 20 20:18:53 UTC 2025","","loginfail.spec.js","",""
