"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35314","test","chromium","Sat Jun 21 20:16:46 UTC 2025","failed","Sat Jun 21 20:17:22 UTC 2025","","smoke/loginfail.spec.js","",""
"","5852","test","chromium","Sat Jun 21 20:16:40 UTC 2025","passed","Sat Jun 21 20:16:46 UTC 2025","","smoke/login.spec.js","",""
"","37237","Wishlist","chromium","Sat Jun 21 20:17:22 UTC 2025","failed","Sat Jun 21 20:18:00 UTC 2025","","smoke/wishlist.spec.js","",""
