"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37418","Wishlist","chromium","Fri Jun 20 02:02:26 UTC 2025","failed","Fri Jun 20 02:03:03 UTC 2025","","wishlist.spec.js","",""
"","6571","test","chromium","Fri Jun 20 02:02:19 UTC 2025","passed","Fri Jun 20 02:02:25 UTC 2025","","login.spec.js","",""
